date,arrestatiekaarten_rotterdam,boeken_bhic,westerborkkaarten_rotterdam,beeldbank_ede,beeldbank_peelenmaasnet,crowdsourcing_vught,beeldbank_leiden,wangerooge,radio_broadcasts_radio_de_branda,burgers_fokkerfabriek,beeldbank_jdc,drupal,beeldbank_coda,archives_dvdv,beeldbank_zaanstad,video_friesfilmarchief,kamp_buchenwald,gvn_nfa03,beeldbank_hclimburg,bibliotheek_gemeentearchief_zaan,video_oorloginblik,erelijst_niod,bombardement_blauwburgwal,personen_gemeentearchief_schieda,delpher,schemas,arbeidsinzet,ss_ebb_slachtoffers,matching_eng_inv,oorlogsdoden_tilburg,collectie_bdmuseum,residence_links,razzia_rotterdam_sijes,beeldbank_denbosch,beeldbank_geldersarchief,beeldbank_douwe_egberts_heritage,kamp_buchenwaldits,beeldbank_niod,radio_broadcasts_radio_herrijzen,archieven_streekarchief_voornepu,joodse_raad,crowdsource_links,personen_het_utrechts_archief,razzia_van_amsterdam_11_06_1941,beeldbank_rijssen,wo2_thesaurus,collectie_sovjet_ereveld,collectie_jck,archieven_waterland,collectie_bevrijdingsmuseumzeeland,huwelijken_westerbork,archieven_utrecht,collectie_kamp_vught,struikelstenen_achttiensept,slachtoffers_dordrecht,st_louis,archieven_geldersarchief,transporten_cosel,archieven_nijmegen,beeldbank_zeeuwsarchief,beeldbank_westbrabants,collectie_openbeelden,japansekrijgsgevangenkampennl_fu,bekendmakingen_groningen,interneringskaarten_knil,archieven_eemland,kamp_sachsenhausen,archieven_nimh,beeldbank_streekarchief_voornepu,stadhuisramp_heusden,persons,luchtoorlog_persoonlijke_gebeurt,personen_herinneringscentrum_kam,dans_oh_gv,kamp_neuengamme,beeldbank_rijckheyt,kamp_erika,oorlogsdoden_eindhoven,verkaufsbucher_na,andb_gesperrd,oorlogslevens_organisaties,rijksmuseum,archieven_mhmuseum,beeldbank_amsterdam,test_dataset_adamlink,overlijdensaktes_openarchives,collectie_ihc,boeken_onderduikmuseum,kampdachau_verzetsmuseum,regionaal_archief_rivierenland,commonwealth_war_graves,beeldbank_eemland,video_getuigenverhalen,archieven_groningerarchief,oorlogslevens_gebeurtenissen,cap_arcona,beeldbank_denhaag,gvn_evdo03,kindertransporten_kampvught,beeldbank_schiedam,oorlogsmonumenten,tewerkstelling_amsterdam,personen_museum_engelandvaarders,joods_monument_joodse_invalide,burgers_damincident,collectie_hdc__protestants_erfgo,evacuees_sudwest_fryslan,archieven_stadsarchief_rotterdam,toegangsboek_dachau_reinie,collectie_nederland_raf,brabantse_gesneuvelden,beeldbank_nimh,gvn_nfa02,beeldbank_zutphen,joodse_raadkleur,engelandvaarders,leden_ordedienst_na,video_ihlia,transport_buchenwald,beeldbank_waterland,archieven_historisch_centrum_ove,archieven_na,burgers_hattemerbroek,gemeentearchief_roermond,documentatiegroep,gemeente_peel_en_maas,iisg_cpn,personen_bij_bombardementen,wo2_organizations,vancouver_holocaust_education_ce,archieven_iish,beeldbank_alkmaar,personen_kazerne_dossin,research_anne_frank_org,lolkp_necrologie,dans_oh_ni,archieven_tilburg,its_amersfoort,beeldbank_gooienvecht,museum_rotterdam,marktkaarten_amsterdam,muziek_leosmitstichting,collectie_oranjehotel,beeldbank_nijmegen,spoorwegmuseum,herdenkingsstenen_amersfoort,its_vught,collectie_verzetsmuseumamsterdam,archieven_westfries,rotterdam_erasmiaans,razzia_amsterdam,boeken_catalogus_iish,archieven_denhaag,razzia_in_de_achterhoek,vervolgings_slachtoffers,kinderen_loods24,razzia_putten,limburgs_erfgoednet,nl_joden_bergen_belsen,razzia_merwede,beeldbank_barneveld,beeldbank_tilburg,personen_oranjehotel,beeldbank_nha,archieven_denbosch,archieven_noordhollands,rosenberg_archieven,boeken_groningerarchief,beeldbank_westfries_archief,personen_master_data,beeldbank_hcl,gvn_evdo02,vrouwen_van_trouw,dwangarbeiders_ss,archieven_zeist,collectie_museon,collectie_ehri,onderduikkaarten_tresoar,oproepkaarten_breda,archieven_gooienvecht,beeldbank_rce,nk_collectie_rce,verliesregister,joods_monument_slachtoffers,stolpersteine_zutphen,collectie_kopinsky,wo2_biografieen,wikidata_straten,duitseoverlijdensaktes_cbg,collectie_kazerne_dossin,beeldbank_utrecht,gedenkteken_luchtvarenden,beeldbank_gemert,interviewcollectie_veteraneninstituut,kamp_amersfoort,geni_volksmilitie,oorlogsdoden_goirle,beeldbank_heemkring_molenheide,ogs,archieven_de_domijnen,overlijdensaktes_wiewaswie,kamp_stmichielsgestel,bibliotheek_nijmegen,oorlogsdoden_nijmegen,kamp_sachsenhausenreinie,kaarten_nimh,gvn_geldmuseum01,affiches_nmm,brabant_in_beelden__bhic,transporten_vernietigingskampen,yad_vashem_archive_netherlands,collaboratie,bibliotheek_archief_eemland,drents_archief,obol,collectie_amsterdammuseum,razzia_van_twente,modemuze,beeldbank_sudwest_fryslan,collectie_westerbork,wo2_personen_pico,burgers_achtkarspelen,beeldbank_zeeuwsebibliotheek,affiches_groningen,atlasvanstolk,joods_monument_centraal_weeshuis,beeldbank_heusden,defensie_rafpiloten,paspoorten_amsterdam,beeldbank_hco,archieven_batavialand,kamp_ravensbruck,rodekruiskaarten_cbg,vrouwen_in_verzet,koopvaardij_nimh,beeldbank_regionaal_archief_dord,archieven_zeeuwsarchief,bidprentjes_limburgs_erfgoed,beeldbank_bhic,archievenwo2,korpora,schakers_in_wo2,ggc_niod,beeldbank_tresoar,agentenlijst_englandspiel,kamp_dachau,bombardement_rotterdam,beeldbank_weert,gvn_evdo01,beeldbank_stadsarchief_rotterdam,romaensinti,v_wapens,collectie_gelderland,wo2_manual_matches,beeldbank_breda,beeldbank_friesverzetsmuseum,radio_broadcasts_radio_oranje,collectie_fotopersbureau_de_boer,andb_diamantbewerkers,archieven_niod,archieven_gemeentearchief_zaanst,wo2_memberof,archieven_rijckheyt,razzia_van_rotterdam,scouts_in_de_oorlog,neerlandschverzetsmonument,archieven_alkmaar,beeldbank_na_fotos,mforce_media,muziek_som,boeken_ihlia,collectie_mhmuseum,videocollectie_stadsarchief_bred,kamp_mittelbau,subject_sport,kamp_theresienstadt,collectie_anne_frank_stichting,verzetskaarten_ovcg,wordsmatter,archieven_bhic,bronnen,archieven_leiden,beeldbank_tholen,archieven_en_beeldbank_historisc,collectie_stadsarchief_zoetermee
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4162,,,,
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219,,,,
2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219,,,,
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,,,,
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,,,,
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,,,,
2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,
2024-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,
2024-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,
2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,
2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,,,,
